"Date","variable","Parameter","volume.group"
2013-03-12,"sf",0.0160385917615886,"7"
2013-03-13,"sf",0.0162578265135868,"7"
2013-03-14,"sf",0.0164775651336859,"7"
2013-03-15,"sf",0.0166978076218859,"7"
2013-03-16,"sf",0.0169185539781869,"7"
2013-03-17,"sf",0.0171398042025888,"7"
2013-03-18,"sf",0.0173615582950916,"7"
2013-03-19,"sf",0.0175838162556953,"7"
2013-03-20,"sf",0.0178065780844,"7"
2013-03-21,"sf",0.0180298437812056,"7"
2013-03-22,"sf",0.0182536133461121,"7"
2013-03-23,"sf",0.0184778867791196,"7"
2013-03-24,"sf",0.0187026640802279,"7"
2013-03-25,"sf",0.0189279452494372,"7"
2013-03-26,"sf",0.0191537302867474,"7"
2013-03-27,"sf",0.0193800191921586,"7"
2013-03-28,"sf",0.0196068119656706,"7"
2013-03-29,"sf",0.0198341086072836,"7"
2013-03-30,"sf",0.0200619091169975,"7"
2013-03-31,"sf",0.0202902134948124,"7"
2013-04-01,"sf",0.0205190217407281,"7"
2013-04-02,"sf",0.0207483338547448,"7"
2013-04-03,"sf",0.0209781498368624,"7"
2013-04-04,"sf",0.021208469687081,"7"
2013-04-05,"sf",0.0214392934054004,"7"
2013-04-06,"sf",0.0216706209918208,"7"
2013-04-07,"sf",0.0219024524463421,"7"
2013-04-08,"sf",0.0221347877689643,"7"
2013-04-09,"sf",0.0223676269596875,"7"
2013-04-10,"sf",0.0226009700185116,"7"
2013-04-11,"sf",0.0228348169454366,"7"
2013-04-12,"sf",0.0230691677404625,"7"
2013-04-13,"sf",0.0233040224035894,"7"
2013-04-14,"sf",0.0235393809348172,"7"
2013-04-15,"sf",0.0237752433341459,"7"
2013-04-16,"sf",0.0240116096015755,"7"
2013-04-17,"sf",0.0242484797371061,"7"
2013-04-18,"sf",0.0244858537407376,"7"
2013-04-19,"sf",0.02472373161247,"7"
2013-04-20,"sf",0.0249621133523033,"7"
2013-04-21,"sf",0.0252009989602375,"7"
2013-04-22,"sf",0.0254403884362727,"7"
2013-04-23,"sf",0.0256802817804088,"7"
2013-04-24,"sf",0.0259206789926459,"7"
2013-04-25,"sf",0.0261615800729838,"7"
2013-04-26,"sf",0.0264029850214227,"7"
2013-04-27,"sf",0.0266448938379625,"7"
2013-04-28,"sf",0.0268873065226032,"7"
2013-04-29,"sf",0.0271302230753449,"7"
2013-04-30,"sf",0.0273736434961875,"7"
2013-05-01,"sf",0.027617567785131,"7"
2013-05-02,"sf",0.0278619959421754,"7"
2013-05-03,"sf",0.0281069279673208,"7"
2013-05-04,"sf",0.028352363860567,"7"
2013-05-05,"sf",0.0285983036219142,"7"
2013-05-06,"sf",0.0288447472513624,"7"
2013-05-07,"sf",0.0290916947489114,"7"
2013-05-08,"sf",0.0293391461145614,"7"
2013-05-09,"sf",0.0295871013483123,"7"
2013-05-10,"sf",0.0298355604501641,"7"
2013-05-11,"sf",0.0300845234201169,"7"
2013-05-12,"sf",0.0303339902581705,"7"
2013-05-13,"sf",0.0305839609643251,"7"
2013-05-14,"sf",0.0308344355385807,"7"
2013-05-15,"sf",0.0310854139809371,"7"
2013-05-16,"sf",0.0313368962913945,"7"
2013-05-17,"sf",0.0315888824699528,"7"
2013-05-18,"sf",0.031841372516612,"7"
2013-05-19,"sf",0.0320943664313722,"7"
2013-05-20,"sf",0.0323478642142332,"7"
2013-05-21,"sf",0.0326018658651952,"7"
2013-01-21,"k",0.308830157308683,"8"
2013-01-22,"k",0.307745105814279,"8"
2013-01-23,"k",0.307196177733077,"8"
2013-01-24,"k",0.306642981429209,"8"
2013-01-25,"k",0.306085516902675,"8"
2013-01-26,"k",0.305523784153475,"8"
2013-01-27,"k",0.304957783181609,"8"
2013-01-28,"k",0.304387513987076,"8"
2013-01-29,"k",0.303812976569877,"8"
2013-01-30,"k",0.303234170930012,"8"
2013-01-31,"k",0.302651097067481,"8"
2013-02-01,"k",0.302063754982283,"8"
2013-02-02,"k",0.30147214467442,"8"
2013-02-03,"k",0.30087626614389,"8"
2013-02-04,"k",0.300276119390694,"8"
2013-02-05,"k",0.299671704414832,"8"
2013-02-06,"k",0.299063021216303,"8"
2013-02-07,"k",0.298450069795109,"8"
2013-02-08,"k",0.297832850151248,"8"
2013-02-09,"k",0.297211362284721,"8"
2013-02-10,"k",0.296585606195527,"8"
2013-02-11,"k",0.295955581883668,"8"
2013-02-12,"k",0.295321289349142,"8"
2013-02-13,"k",0.29468272859195,"8"
2013-02-14,"k",0.294039899612092,"8"
2013-02-15,"k",0.293392802409568,"8"
2013-02-16,"k",0.292741436984378,"8"
2013-02-17,"k",0.292085803336521,"8"
2013-02-18,"k",0.291425901465998,"8"
2013-02-19,"k",0.290761731372809,"8"
2013-02-20,"k",0.290093293056954,"8"
2013-02-21,"k",0.289420586518432,"8"
2013-02-22,"k",0.288743611757245,"8"
2013-02-23,"k",0.288062368773391,"8"
2013-02-24,"k",0.287376857566871,"8"
2013-02-25,"k",0.286687078137685,"8"
2013-02-26,"k",0.285993030485832,"8"
2013-02-27,"k",0.285294714611313,"8"
2013-02-28,"k",0.284592130514129,"8"
2013-03-01,"k",0.283885278194278,"8"
2013-03-02,"k",0.28317415765176,"8"
2013-03-03,"k",0.282458768886577,"8"
2013-03-04,"k",0.281739111898727,"8"
2013-03-05,"k",0.281015186688211,"8"
2013-03-06,"k",0.280286993255029,"8"
2013-03-07,"k",0.279554531599181,"8"
2013-03-08,"k",0.278817801720666,"8"
2013-03-09,"k",0.278076803619486,"8"
2013-03-10,"k",0.277331537295639,"8"
2013-03-11,"k",0.276582002749126,"8"
2013-03-12,"k",0.275828199979947,"8"
2013-03-13,"k",0.275070128988101,"8"
2013-03-14,"k",0.274307789773589,"8"
2013-03-15,"k",0.273541182336411,"8"
2013-03-16,"k",0.272770306676567,"8"
2013-03-17,"k",0.271995162794057,"8"
2013-03-18,"k",0.271215750688881,"8"
2013-03-19,"k",0.270432070361038,"8"
2013-03-20,"k",0.269644121810529,"8"
2013-03-21,"k",0.268851905037354,"8"
2013-03-22,"k",0.268055420041513,"8"
2013-03-23,"k",0.267254666823005,"8"
2013-03-24,"k",0.266449645381831,"8"
2013-03-25,"k",0.265640355717992,"8"
2013-03-26,"k",0.264826797831485,"8"
2013-03-27,"k",0.264008971722313,"8"
2013-03-28,"k",0.263186877390475,"8"
2013-03-29,"k",0.26236051483597,"8"
2013-03-30,"k",0.261529884058799,"8"
2013-03-31,"k",0.260694985058962,"8"
2013-04-01,"k",0.259855817836459,"8"
2013-04-02,"k",0.259012382391289,"8"
2013-04-03,"k",0.258164678723454,"8"
